label,target,corpus,target_group,Race,Religion,Gender,Sexual Orientation,Miscellaneous
normal,['None'],do not think i am getting baby white  two white j nike even touched,['Miscellaneous'],0,0,0,0,1
normal,['None'],cannot continue calling feminist right womxn are not addressed yes sexual offence public list trans lesbian bisexual queer womxn able enter information reporting sheet gender forum,['Miscellaneous'],0,0,0,0,1
normal,['African'],nawt you all nigger ignoring,['Race'],1,0,0,0,0
hatespeech,['Asian'],user bit confused coz chinese people access twitter thn ching chong using think pakistani   ,['Race'],1,0,0,0,0
hatespeech,"['Caucasian', 'Women']",bitch whataburger eating burger top bun holding palm hate white bitch,"['Race', 'Gender']",1,0,1,0,0
hatespeech,['Jewish'],laura loomer raped screaming disgusting kike language said must exterminate goy laura loomer loomergate,['Religion'],0,1,0,0,0
hatespeech,['African'],end nigger trainee doctor speak properly lack basic knowledge biology truly scary public knew,['Race'],1,0,0,0,0
offensive,"['African', 'Jewish', 'Homosexual']",nog jew dyke enriching,"['Race', 'Religion', 'Sexual Orientation']",1,1,0,1,0
hatespeech,"['African', 'Jewish']",guilty proven innocent unless jew nigger lover,"['Race', 'Religion']",1,1,0,0,0
hatespeech,['African'],tired support abortion moral standpoint wired support morally easy stop looking little niglets future doctor see really future rapist white woman future welfare recipient white tax dollar future democrat voter,['Race'],1,0,0,0,0
hatespeech,['Islam'],number number percent brit think multiculturalism failure guess percent happy muzzie master great britain anymore soon big ben converted minaret,['Religion'],0,1,0,0,0
normal,['None'],tariq nasheed beating fuck drum beloved lmao somebody put biscuit nigga mouth already,['Miscellaneous'],0,0,0,0,1
normal,['None'],percent cotton thigh high avoid contact gay chemical,['Miscellaneous'],0,0,0,0,1
normal,['None'],oomf number yearl old closet gay obsessed someone help,['Miscellaneous'],0,0,0,0,1
offensive,['Women'],ex cute hoe guess attract fly looking thots ,['Gender'],0,0,1,0,0
normal,['None'],fella careful texting nigga,['Miscellaneous'],0,0,0,0,1
normal,['None'],italian nigga call dick poozingi,['Miscellaneous'],0,0,0,0,1
normal,['None'],user old lady nazi white supremacist,['Miscellaneous'],0,0,0,0,1
normal,['None'],user user user user user married negress white woman want black female america love nobama,['Miscellaneous'],0,0,0,0,1
offensive,['Jewish'],user condoning drug use kike thanks disclosure,['Religion'],0,1,0,0,0
normal,['None'],user user people act say state obviously american pro gun american support government treatment immigrant foreigner come israel suddenly logic change,['Miscellaneous'],0,0,0,0,1
normal,['None'],user user visited helped provided food kp islam c terrorist butured raped forced leave land,['Miscellaneous'],0,0,0,0,1
normal,['None'],anyways fact outfit directly violates france law about face covering veil still headlined paris fashion week show law never about obscured facial identification about white supremacy islamophobia,['Miscellaneous'],0,0,0,0,1
hatespeech,['Jewish'],lol stupid kike,['Religion'],0,1,0,0,0
normal,['African'],funny people offended word nigger problem calling people nazi difference,['Race'],1,0,0,0,0
normal,['None'],much appreciate format open discussion really want facebook say beaner,['Miscellaneous'],0,0,0,0,1
hatespeech,['Caucasian'],anyone care albino nigger say,['Race'],1,0,0,0,0
offensive,['Hispanic'],photo look rhyan moody killed thanksgiving illegal spic,['Race'],1,0,0,0,0
hatespeech,['Jewish'],sound like kike national socialist,['Religion'],0,1,0,0,0
offensive,['Hispanic'],saw couple baum stein victim list ya got info thought school half spic though,['Race'],1,0,0,0,0
normal,['None'],elite looter enriched import   iq moslem onto welfare section number homeless vet would need taxpayer paid class use toilet free home,['Miscellaneous'],0,0,0,0,1
hatespeech,"['African', 'Islam']",negro moslem doctor got struck negligence white number year old kid syndrome died guardian response help promote crowd funding campaign,"['Race', 'Religion']",1,1,0,0,0
