Labels,Targets,Corpus,None,African,Asian,Women,Caucasian,Jewish,Homosexual,Islam,Hispanic,Arab,Refugee,Economic,Other,Disability,Men,Indian,Christian,Hindu,Indigenous,Buddhism
normal,['None'],i do not think i am getting my baby them white he ha two white j and nike not even touched,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
normal,['None'],we can not continue calling ourselves feminist if the right of all womxn are not addressed yes to a sexual offence public list but will a trans lesbian bisexual and queer womxn be able to enter their information on the reporting sheet gender forum,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
normal,['African'],nawt you all nigger ignoring me,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hatespeech,['Asian'],user i am bit confused coz chinese people can not access twitter thn how this ching chong using it i think he pakistani   ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hatespeech,"['Women', 'Caucasian']",this bitch in whataburger eating a burger with no top bun and holding it palm up i hate white bitch,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hatespeech,['Jewish'],laura loomer raped me while screaming at me in her disgusting kike language and said we must exterminate the goy laura loomer loomergate,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hatespeech,['African'],and this is why i end up with nigger trainee doctor who can not speak properly lack basic knowledge of biology it truly scary if the public only knew,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
offensive,"['African', 'Jewish', 'Homosexual']",nog jew and dyke how enriching,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
hatespeech,"['African', 'Jewish']",guilty until proven innocent unless you are a jew a nigger or a lover of both,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hatespeech,['African'],tired i can not support abortion from a moral standpoint wired i can support it morally easy stop looking at those little niglets a future doctor and see them for what they really are future rapist of white woman and future welfare recipient of white tax dollar and future democrat voter,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hatespeech,['Islam'],number number percent of brit think multiculturalism is a failure i guess the other percent are happy with their muzzie master there no great in britain anymore soon big ben will be converted into a minaret,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
normal,['None'],tariq nasheed beating the fuck out of that drum beloved lmao somebody put a biscuit in that nigga mouth already,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
normal,['None'],percent cotton thigh high to avoid contact with any gay chemical,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
normal,['None'],oomf a number yearl old closet gay and obsessed with me someone help,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
offensive,['Women'],all of my ex were cute but they were hoe i guess i only attract fly looking thots ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
normal,['None'],fella be careful she texting other nigga,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
normal,['None'],italian nigga call they dick the poozingi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
normal,['None'],user what did the old lady do wa she a nazi or white supremacist,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
normal,['None'],user user user user user he married a negress because white woman did not want him but black female all over america love nobama,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
offensive,['Jewish'],user condoning drug use not kike at all thanks for that disclosure,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
normal,['None'],user user people act a if you can not say the same about the state obviously not all american are pro gun not all american support their government treatment of immigrant and foreigner but when it come to israel suddenly the logic change,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
normal,['None'],user user they visited helped provided food to those kp while islam c terrorist butured raped and forced them to leave their own land,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
normal,['None'],anyways the fact that her outfit directly violates france law about no face covering veil but is still headlined in paris fashion week show that the law wa never about obscured facial identification but about white supremacy and islamophobia,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hatespeech,['Jewish'],lol what a stupid kike,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
normal,['African'],it funny how people offended by the word nigger have no problem calling people nazi what the difference,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
normal,['None'],a much a i appreciate a format of open discussion i really just want a facebook that i can say beaner on,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hatespeech,['Caucasian'],why doe anyone care what the albino nigger ha to say,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
offensive,['Hispanic'],that wa just a photo look up rhyan moody she wa killed on thanksgiving by an illegal spic,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
hatespeech,['Jewish'],this sound like a kike national socialist,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
offensive,['Hispanic'],i saw a couple baum and stein in the victim list but that about it ya got more info i thought the school wa half spic though,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
normal,['None'],only elite looter are enriched when they import a iq moslem onto welfare section number homeless vet would not need taxpayer paid class on how to use toilet in free home,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
